generation,error,triangles
0,41.3580,2
1,36.5957,3
2,31.3179,4
3,26.5540,6
4,20.1991,8
5,17.6134,9
6,14.0502,12
7,14.0502,12
8,11.5841,15
9,10.4406,18
10,9.9931,15
11,9.4853,19
12,9.1181,24
13,9.0841,26
14,8.3364,26
15,8.2600,24
16,7.8781,25
17,7.6343,30
18,7.5154,28
19,7.1713,30
20,7.1713,30
21,6.8009,28
22,6.6127,30
23,6.6127,30
24,6.6127,30
25,6.2832,27
26,6.1782,26
27,6.0432,30
28,5.9144,29
29,5.9144,29
30,5.8110,26
31,5.7068,30
32,5.7068,30
33,5.6821,30
34,5.5818,30
35,5.5818,30
36,5.5170,30
37,5.5170,30
38,5.4352,30
39,5.4298,30
40,5.4252,30
41,5.3549,30
42,5.3125,29
43,5.3125,29
44,5.3125,29
45,5.3125,29
46,5.3125,29
47,5.2577,30
48,5.2554,30
49,5.2554,30
50,5.2554,30
51,5.2508,30
52,5.2508,30
53,5.2261,30
54,5.2261,30
55,5.2261,30
56,5.2238,30
57,5.1998,30
58,5.1806,27
59,5.1690,30
60,5.1659,30
61,5.1535,28
62,5.1435,30
63,5.1435,30
64,5.1412,30
65,5.0718,28
66,5.0255,30
67,5.0255,30
68,5.0255,30
69,5.0255,30
70,5.0255,30
71,5.0255,30
72,5.0255,30
73,4.9390,30
74,4.8140,30
75,4.8140,30
76,4.8140,30
77,4.7269,30
78,4.7269,30
79,4.7191,30
80,4.7191,30
81,4.6952,29
82,4.6952,29
83,4.6952,29
84,4.5633,30
85,4.5633,30
86,4.4846,24
87,4.4846,24
88,4.4846,24
89,4.4846,24
90,4.4144,24
91,4.4144,24
92,4.4144,24
93,4.4144,24
94,4.4074,29
95,4.4074,29
96,4.4074,29
97,4.3719,29
98,4.3056,30
99,4.2330,30
100,4.2330,30
101,4.1821,30
102,4.1821,30
103,4.1250,30
104,4.1250,30
105,4.1250,30
106,4.1250,30
107,4.0972,27
108,4.0972,27
109,4.0957,28
110,4.0957,28
111,4.0957,28
112,4.0957,28
113,4.0957,28
114,3.9352,30
115,3.9352,30
116,3.9352,30
117,3.9352,30
118,3.9352,30
119,3.9352,30
120,3.9352,30
121,3.9352,30
122,3.9352,30
123,3.9352,30
124,3.9352,30
125,3.9352,30
126,3.9352,30
127,3.9128,30
128,3.9128,30
129,3.9128,30
130,3.9128,30
131,3.8904,30
132,3.8904,30
133,3.8897,30
134,3.8897,30
135,3.8897,30
136,3.8889,30
137,3.8889,30
138,3.8889,30
139,3.8889,30
140,3.8681,30
141,3.8681,30
142,3.8681,30
143,3.8681,30
144,3.8681,30
145,3.8681,30
146,3.8681,30
147,3.8681,30
148,3.8681,30
149,3.8681,30
150,3.8681,30
151,3.8627,27
152,3.8248,30
153,3.8248,30
154,3.8248,30
155,3.8164,30
156,3.8164,30
157,3.8164,30
158,3.8156,26
159,3.7785,30
160,3.7778,30
161,3.7778,30
162,3.7778,30
163,3.7778,30
164,3.7778,30
165,3.7778,30
166,3.7778,30
167,3.7778,30
168,3.7778,30
169,3.7778,30
170,3.7778,30
171,3.7778,30
172,3.7778,30
173,3.7778,30
174,3.7315,30
175,3.7315,30
176,3.7307,30
177,3.6690,29
178,3.6690,29
179,3.6690,29
180,3.6690,29
181,3.6690,29
182,3.6690,29
183,3.6690,29
184,3.6690,29
185,3.6690,29
186,3.6690,29
187,3.6690,29
188,3.6690,29
189,3.6690,29
190,3.6690,29
191,3.6690,29
192,3.6690,29
193,3.6690,29
194,3.6690,29
195,3.6690,29
196,3.6690,29
197,3.6690,29
198,3.6690,29
199,3.6574,29
200,3.6574,29
201,3.6574,29
202,3.6335,29
203,3.6335,29
204,3.6335,29
205,3.6335,29
206,3.6335,29
207,3.6335,29
208,3.6335,29
209,3.6335,29
210,3.6335,29
211,3.6335,29
212,3.6335,29
213,3.6335,29
214,3.6335,29
215,3.6335,29
216,3.6335,29
217,3.6335,29
218,3.6335,29
219,3.6335,29
220,3.6335,29
221,3.6335,29
222,3.6335,29
223,3.6335,29
224,3.6335,29
225,3.6335,29
226,3.6335,29
227,3.6319,29
228,3.6319,29
229,3.6319,29
230,3.6319,29
231,3.6319,29
232,3.6319,29
233,3.6319,29
234,3.6319,29
235,3.6319,29
236,3.6319,29
237,3.6319,29
238,3.6319,29
239,3.6258,29
240,3.6258,29
241,3.6258,29
242,3.6258,29
243,3.6258,29
244,3.6258,29
245,3.6258,29
246,3.6258,29
247,3.6258,29
248,3.6258,29
249,3.6258,29
250,3.6258,29
251,3.6258,29
252,3.6258,29
253,3.6258,29
254,3.6258,29
255,3.6258,29
256,3.6258,29
257,3.6258,29
258,3.6258,29
259,3.6258,29
260,3.6258,29
261,3.6258,29
262,3.6258,29
263,3.6258,29
264,3.6258,29
265,3.6258,29
266,3.6258,29
267,3.6258,29
268,3.6258,29
269,3.6258,29
270,3.6258,29
271,3.6258,29
272,3.6258,29
273,3.6258,29
274,3.6258,29
275,3.6258,29
276,3.6258,29
277,3.6258,29
278,3.6258,29
279,3.6258,29
280,3.6258,29
281,3.6258,29
282,3.6258,29
283,3.6258,29
284,3.6258,29
285,3.6258,29
286,3.6258,29
287,3.6258,29
288,3.6103,30
289,3.6049,30
290,3.6049,30
291,3.6049,30
292,3.6049,30
293,3.6049,30
294,3.6049,30
295,3.6049,30
296,3.6049,30
297,3.6049,30
298,3.6049,30
299,3.6049,30
300,3.5478,30
301,3.5478,30
302,3.5478,30
303,3.5478,30
304,3.5478,30
305,3.5478,30
306,3.5478,30
307,3.5478,30
308,3.5478,30
309,3.5478,30
310,3.5478,30
311,3.5478,30
312,3.5478,30
313,3.5478,30
314,3.5463,30
315,3.5463,30
316,3.5463,30
317,3.5463,30
318,3.5463,30
319,3.5463,30
320,3.5463,30
321,3.5463,30
322,3.5463,30
323,3.5463,30
324,3.5463,30
325,3.5463,30
326,3.5463,30
327,3.5386,30
328,3.5386,30
329,3.5386,30
330,3.5386,30
331,3.5386,30
332,3.5386,30
333,3.5386,30
334,3.5386,30
335,3.5386,30
336,3.5386,30
337,3.5386,30
338,3.5363,30
339,3.5340,30
340,3.5340,30
341,3.5270,30
342,3.5270,30
343,3.4938,30
344,3.4938,30
345,3.4938,30
346,3.4938,30
347,3.4938,30
348,3.4938,30
349,3.4938,30
350,3.4938,30
351,3.4938,30
352,3.4938,30
353,3.4938,30
354,3.4938,30
355,3.4884,30
356,3.4884,30
357,3.4884,30
358,3.4884,30
359,3.4884,30
360,3.4884,30
361,3.4884,30
362,3.4884,30
363,3.4884,30
364,3.4884,30
365,3.4884,30
366,3.4884,30
367,3.4884,30
368,3.4884,30
369,3.4884,30
370,3.4884,30
371,3.4884,30
372,3.4877,30
373,3.4877,30
374,3.4877,30
375,3.4877,30
376,3.4877,30
377,3.4877,30
378,3.4877,30
379,3.4877,30
380,3.4877,30
381,3.4877,30
382,3.4877,30
383,3.4877,30
384,3.4877,30
385,3.4877,30
386,3.4877,30
387,3.4877,30
388,3.4877,30
389,3.4877,30
390,3.4877,30
391,3.4877,30
392,3.4830,30
393,3.4830,30
394,3.4830,30
395,3.4830,30
396,3.4830,30
397,3.4830,30
398,3.4830,30
399,3.4830,30
400,3.4830,30
401,3.4830,30
402,3.4830,30
403,3.4830,30
404,3.4830,30
405,3.4830,30
406,3.4830,30
407,3.4830,30
408,3.4830,30
409,3.4830,30
410,3.4830,30
411,3.4823,30
412,3.4823,30
413,3.4823,30
414,3.4823,30
415,3.4823,30
416,3.4522,30
417,3.4522,30
418,3.4522,30
419,3.4522,30
420,3.4522,30
421,3.4522,30
422,3.4522,30
423,3.4522,30
424,3.4522,30
425,3.4522,30
426,3.4522,30
427,3.4321,28
428,3.4259,30
429,3.4259,30
430,3.4159,30
431,3.4159,30
432,3.4159,30
433,3.4159,30
434,3.4159,30
435,3.4159,30
436,3.4159,30
437,3.4159,30
438,3.4097,30
439,3.4097,30
440,3.4097,30
441,3.4097,30
442,3.4097,30
443,3.3889,30
444,3.3889,30
445,3.3889,30
446,3.3889,30
447,3.3889,30
448,3.3889,30
449,3.3688,30
450,3.3688,30
451,3.3688,30
452,3.3557,29
453,3.3557,29
454,3.3557,29
455,3.3557,29
456,3.3557,29
457,3.3557,29
458,3.3557,29
459,3.3557,29
460,3.3557,29
461,3.3557,29
462,3.3557,29
463,3.3557,29
464,3.3557,29
465,3.3557,29
466,3.3557,29
467,3.3557,29
468,3.3557,29
469,3.3557,29
470,3.3557,29
471,3.3187,30
472,3.3187,30
473,3.3187,30
474,3.3187,30
475,3.3187,30
476,3.3156,29
477,3.3156,29
478,3.3156,29
479,3.3156,29
480,3.3156,29
481,3.3156,29
482,3.3156,29
483,3.3156,29
484,3.3156,29
485,3.3156,29
486,3.3156,29
487,3.3156,29
488,3.3156,29
489,3.3156,29
490,3.3025,29
491,3.3025,29
492,3.3025,29
493,3.2755,30
494,3.2724,30
495,3.2724,30
496,3.2724,30
497,3.2724,30
498,3.2724,30
499,3.2593,30
500,3.2593,30
501,3.2593,30
502,3.2593,30
503,3.2593,30
504,3.2361,30
505,3.2361,30
506,3.2361,30
507,3.2361,30
508,3.2361,30
509,3.2106,30
510,3.2106,30
511,3.2106,30
512,3.2106,30
513,3.2106,30
514,3.2106,30
515,3.2106,30
516,3.2106,30
517,3.2106,30
518,3.2106,30
519,3.2106,30
520,3.2106,30
521,3.2106,30
522,3.2106,30
523,3.2106,30
524,3.2106,30
525,3.2106,30
526,3.2106,30
527,3.2106,30
528,3.2106,30
529,3.2106,30
530,3.2106,30
531,3.2106,30
532,3.2106,30
533,3.2106,30
534,3.2106,30
535,3.2099,30
536,3.2099,30
537,3.2099,30
538,3.2099,30
539,3.2099,30
540,3.2099,30
541,3.2099,30
542,3.2099,30
543,3.2099,30
544,3.2099,30
545,3.2099,30
546,3.2099,30
547,3.2099,30
548,3.2099,30
549,3.2099,30
550,3.2099,30
551,3.2099,30
552,3.2099,30
553,3.2091,30
554,3.2091,30
555,3.2091,30
556,3.2091,30
557,3.2091,30
558,3.2091,30
559,3.2091,30
560,3.2091,30
561,3.2091,30
562,3.2091,30
563,3.2091,30
564,3.2091,30
565,3.2091,30
566,3.1844,30
567,3.1844,30
568,3.1844,30
569,3.1844,30
570,3.1844,30
571,3.1844,30
572,3.1844,30
573,3.1844,30
574,3.1844,30
575,3.1844,30
576,3.1844,30
577,3.1844,30
578,3.1844,30
579,3.1844,30
580,3.1844,30
581,3.1844,30
582,3.1520,30
583,3.1520,30
584,3.1520,30
585,3.1520,30
586,3.1520,30
587,3.1520,30
588,3.1466,30
589,3.1466,30
590,3.1466,30
591,3.1466,30
592,3.1466,30
593,3.1466,30
594,3.1397,30
595,3.1397,30
596,3.1373,30
597,3.1373,30
598,3.1373,30
599,3.1373,30
600,3.1373,30
601,3.1373,30
602,3.1373,30
603,3.1373,30
604,3.1373,30
605,3.1373,30
606,3.1373,30
607,3.1373,30
608,3.1373,30
609,3.1373,30
610,3.1373,30
611,3.1373,30
612,3.1373,30
613,3.1373,30
614,3.1373,30
615,3.1373,30
616,3.1373,30
617,3.1373,30
618,3.1366,30
619,3.1366,30
620,3.1366,30
621,3.1366,30
622,3.1366,30
623,3.1366,30
624,3.1366,30
625,3.1366,30
626,3.1366,30
627,3.1366,30
628,3.1366,30
629,3.1265,30
630,3.1265,30
631,3.1265,30
632,3.1265,30
633,3.1265,30
634,3.1265,30
635,3.1265,30
636,3.1265,30
637,3.1265,30
638,3.1265,30
639,3.1265,30
640,3.1265,30
641,3.1265,30
642,3.1265,30
643,3.1265,30
644,3.1265,30
645,3.0949,30
646,3.0949,30
647,3.0949,30
648,3.0949,30
649,3.0949,30
650,3.0949,30
651,3.0949,30
652,3.0949,30
653,3.0949,30
654,3.0949,30
655,3.0949,30
656,3.0949,30
657,3.0949,30
658,3.0949,30
659,3.0949,30
660,3.0949,30
661,3.0949,30
662,3.0949,30
663,3.0949,30
664,3.0949,30
665,3.0949,30
666,3.0949,30
667,3.0949,30
668,3.0949,30
669,3.0949,30
670,3.0772,30
671,3.0772,30
672,3.0772,30
673,3.0772,30
674,3.0772,30
675,3.0772,30
676,3.0772,30
677,3.0772,30
678,3.0772,30
679,3.0772,30
680,3.0772,30
681,3.0772,30
682,3.0772,30
683,3.0741,30
684,3.0741,30
685,3.0741,30
686,3.0741,30
687,3.0741,30
688,3.0725,30
689,3.0725,30
690,3.0725,30
691,3.0725,30
692,3.0725,30
693,3.0725,30
694,3.0725,30
695,3.0725,30
696,3.0725,30
697,3.0409,30
698,3.0409,30
699,3.0409,30
700,3.0409,30
701,3.0409,30
702,3.0409,30
703,3.0409,30
704,3.0409,30
705,3.0409,30
706,3.0409,30
707,3.0409,30
708,3.0409,30
709,3.0409,30
710,3.0409,30
711,3.0409,30
712,3.0409,30
713,3.0177,30
714,3.0177,30
715,3.0177,30
716,3.0177,30
717,3.0177,30
718,3.0177,30
719,3.0177,30
720,3.0177,30
721,3.0177,30
722,3.0177,30
723,3.0177,30
724,3.0177,30
725,3.0177,30
726,3.0177,30
727,3.0177,30
728,3.0177,30
729,3.0177,30
730,3.0177,30
731,3.0177,30
732,3.0177,30
733,3.0177,30
734,3.0069,30
735,3.0069,30
736,3.0069,30
737,3.0069,30
738,3.0069,30
739,3.0069,30
740,3.0069,30
741,3.0069,30
742,3.0069,30
743,3.0069,30
744,3.0069,30
745,3.0069,30
746,3.0069,30
747,3.0069,30
748,3.0069,30
749,3.0069,30
750,3.0069,30
751,3.0069,30
752,3.0062,30
753,3.0062,30
754,3.0062,30
755,3.0062,30
756,3.0062,30
757,3.0062,30
758,3.0062,30
759,3.0062,30
760,3.0062,30
761,3.0062,30
762,3.0062,30
763,3.0062,30
764,3.0062,30
765,3.0062,30
766,3.0062,30
767,3.0062,30
768,3.0062,30
769,3.0062,30
770,3.0062,30
771,3.0062,30
772,3.0062,30
773,3.0062,30
774,3.0062,30
775,3.0062,30
776,3.0062,30
777,3.0062,30
778,3.0062,30
779,3.0062,30
780,3.0062,30
781,3.0062,30
782,3.0062,30
783,3.0062,30
784,3.0062,30
785,3.0015,30
786,3.0015,30
787,3.0015,30
788,3.0015,30
789,2.9707,30
790,2.9707,30
791,2.9707,30
792,2.9707,30
793,2.9707,30
794,2.9707,30
795,2.9707,30
796,2.9707,30
797,2.9707,30
798,2.9676,30
799,2.9676,30
800,2.9676,30
801,2.9676,30
802,2.9676,30
803,2.9676,30
804,2.9676,30
805,2.9676,30
806,2.9676,30
807,2.9676,30
808,2.9676,30
809,2.9676,30
810,2.9676,30
811,2.9676,30
812,2.9668,30
813,2.9668,30
814,2.9668,30
815,2.9660,30
816,2.9660,30
817,2.9660,30
818,2.9660,30
819,2.9660,30
820,2.9660,30
821,2.9660,30
822,2.9660,30
823,2.9653,30
824,2.9653,30
825,2.9653,30
826,2.9653,30
827,2.9653,30
828,2.9653,30
829,2.9653,30
830,2.9653,30
831,2.9653,30
832,2.9653,30
833,2.9653,30
834,2.9653,30
835,2.9653,30
836,2.9653,30
837,2.9630,30
838,2.9630,30
839,2.9630,30
840,2.9630,30
841,2.9630,30
842,2.9630,30
843,2.9630,30
844,2.9630,30
845,2.9630,30
846,2.9630,30
847,2.9630,30
848,2.9630,30
849,2.9630,30
850,2.9630,30
851,2.9630,30
852,2.9630,30
853,2.9630,30
854,2.9630,30
855,2.9630,30
856,2.9630,30
857,2.9630,30
858,2.9630,30
859,2.9630,30
860,2.9630,30
861,2.9630,30
862,2.9630,30
863,2.9630,30
864,2.9630,30
865,2.9630,30
866,2.9630,30
867,2.9630,30
868,2.9630,30
869,2.9630,30
870,2.9630,30
871,2.9630,30
872,2.9630,30
873,2.9630,30
874,2.9630,30
875,2.9630,30
876,2.9630,30
877,2.9630,30
878,2.9630,30
879,2.9630,30
880,2.9630,30
881,2.9630,30
882,2.9630,30
883,2.9630,30
884,2.9630,30
885,2.9630,30
886,2.9630,30
887,2.9630,30
888,2.9630,30
889,2.9630,30
890,2.9630,30
891,2.9630,30
892,2.9630,30
893,2.9630,30
894,2.9630,30
895,2.9630,30
896,2.9630,30
897,2.9630,30
898,2.9630,30
899,2.9630,30
900,2.9630,30
901,2.9630,30
902,2.9630,30
903,2.9630,30
904,2.9630,30
905,2.9630,30
906,2.9614,30
907,2.9614,30
908,2.9614,30
909,2.9614,30
910,2.9614,30
911,2.9614,30
912,2.9614,30
913,2.9576,30
914,2.9576,30
915,2.9529,30
916,2.9529,30
917,2.9529,30
918,2.9529,30
919,2.9529,30
920,2.9529,30
921,2.9529,30
922,2.9529,30
923,2.9529,30
924,2.9529,30
925,2.9529,30
926,2.9529,30
927,2.9529,30
928,2.9529,30
929,2.9275,28
930,2.9275,28
931,2.9275,28
932,2.9275,28
933,2.9275,28
934,2.9275,28
935,2.9275,28
936,2.9275,28
937,2.9275,28
938,2.9275,28
939,2.9275,28
940,2.9275,28
941,2.9275,28
942,2.9275,28
943,2.9275,28
944,2.9275,28
945,2.9275,28
946,2.9275,28
947,2.9275,28
948,2.9236,27
949,2.9236,27
950,2.9236,27
951,2.9236,27
952,2.9236,27
953,2.9236,27
954,2.9236,27
955,2.9236,27
956,2.9236,27
957,2.9236,27
958,2.9236,27
959,2.9236,27
960,2.9236,27
961,2.9236,27
962,2.9159,27
963,2.9159,27
964,2.9159,27
965,2.9159,27
966,2.9159,27
967,2.9159,27
968,2.9159,27
969,2.8789,28
970,2.8789,28
971,2.8789,28
972,2.8789,28
973,2.8789,28
974,2.8789,28
975,2.8789,28
976,2.8789,28
977,2.8789,28
978,2.8789,28
979,2.8789,28
980,2.8789,28
981,2.8789,28
982,2.8789,28
983,2.8789,28
984,2.8789,28
985,2.8789,28
986,2.8789,28
987,2.8789,28
988,2.8789,28
989,2.8789,28
990,2.8765,28
991,2.8681,28
992,2.8681,28
993,2.8681,28
994,2.8681,28
995,2.8681,28
996,2.8681,28
997,2.8681,28
998,2.8681,28
999,2.8681,28
1000,2.8681,28
1001,2.8681,28
1002,2.8681,28
1003,2.8681,28
1004,2.8681,28
1005,2.8681,28
1006,2.8681,28
1007,2.8681,28
1008,2.8681,28
1009,2.8681,28
1010,2.8681,28
1011,2.8681,28
1012,2.8681,28
1013,2.8681,28
1014,2.8681,28
1015,2.8681,28
1016,2.8681,28
1017,2.8681,28
1018,2.8681,28
1019,2.8681,28
1020,2.8681,28
1021,2.8681,28
1022,2.8681,28
1023,2.8681,28
1024,2.8681,28
1025,2.8681,28
1026,2.8681,28
1027,2.8681,28
1028,2.8681,28
1029,2.8681,28
1030,2.8681,28
1031,2.8681,28
1032,2.8681,28
1033,2.8681,28
1034,2.8681,28
1035,2.8681,28
1036,2.8681,28
1037,2.8681,28
1038,2.8681,28
1039,2.8681,28
1040,2.8681,28
1041,2.8681,28
1042,2.8681,28
1043,2.8665,27
1044,2.8665,27
1045,2.8665,27
1046,2.8665,27
1047,2.8665,27
1048,2.8665,27
1049,2.8665,27
1050,2.8665,27
1051,2.8665,27
1052,2.8665,27
1053,2.8665,27
1054,2.8665,27
1055,2.8665,27
1056,2.8665,27
1057,2.8665,27
1058,2.8611,28
1059,2.8611,28
1060,2.8611,28
1061,2.8611,28
1062,2.8611,28
1063,2.8611,28
1064,2.8611,28
1065,2.8611,28
1066,2.8611,28
1067,2.8611,28
1068,2.8611,28
1069,2.8611,28
1070,2.8611,28
1071,2.8611,28
1072,2.8611,28
1073,2.8611,28
1074,2.8611,28
1075,2.8611,28
1076,2.8611,28
1077,2.8611,28
1078,2.8611,28
1079,2.8611,28
1080,2.8611,28
1081,2.8611,28
1082,2.8611,28
1083,2.8611,28
1084,2.8611,28
1085,2.8611,28
1086,2.8611,28
1087,2.8611,28
1088,2.8465,27
1089,2.8465,27
1090,2.8465,27
1091,2.8465,27
1092,2.8465,27
1093,2.8465,27
1094,2.8465,27
1095,2.8465,27
1096,2.8465,27
1097,2.8465,27
1098,2.8465,27
1099,2.8465,27
1100,2.8465,27
1101,2.8465,27
1102,2.8465,27
1103,2.8179,27
1104,2.8179,27
1105,2.8179,27
1106,2.8179,27
