  [kmax=20] Gen    0  error=40.939%  triangles=  1  t=   0.4s
  [kmax=20] Gen   10  error=11.959%  triangles= 17  t=   6.3s
  [kmax=20] Gen   20  error= 8.392%  triangles= 20  t=  14.2s
  [kmax=20] Gen   30  error= 6.872%  triangles= 20  t=  21.9s
  [kmax=20] Gen   40  error= 6.203%  triangles= 20  t=  29.5s
  [kmax=20] Gen   50  error= 5.526%  triangles= 20  t=  37.1s
  [kmax=20] Gen   60  error= 5.474%  triangles= 19  t=  44.6s
  [kmax=20] Gen   70  error= 5.206%  triangles= 20  t=  52.1s
  [kmax=20] Gen   80  error= 5.111%  triangles= 20  t=  59.6s
  [kmax=20] Gen   90  error= 5.011%  triangles= 19  t=  67.1s
  [kmax=20] Gen  100  error= 5.011%  triangles= 19  t=  74.7s
  [kmax=20] Gen  110  error= 4.913%  triangles= 20  t=  82.2s
  [kmax=20] Gen  120  error= 4.848%  triangles= 20  t=  89.7s
  [kmax=20] Gen  130  error= 4.762%  triangles= 19  t=  97.2s
  [kmax=20] Gen  140  error= 4.711%  triangles= 20  t= 104.7s
  [kmax=20] Gen  150  error= 4.672%  triangles= 20  t= 112.1s
  [kmax=20] Gen  160  error= 4.608%  triangles= 18  t= 119.4s
  [kmax=20] Gen  170  error= 4.606%  triangles= 20  t= 126.8s
  [kmax=20] Gen  180  error= 4.606%  triangles= 20  t= 134.1s
  [kmax=20] Gen  190  error= 4.598%  triangles= 20  t= 141.3s
  [kmax=20] Gen  200  error= 4.579%  triangles= 20  t= 148.6s
  [kmax=20] Gen  210  error= 4.555%  triangles= 19  t= 155.8s
  [kmax=20] Gen  220  error= 4.438%  triangles= 20  t= 163.1s
  [kmax=20] Gen  230  error= 4.394%  triangles= 19  t= 170.3s
  [kmax=20] Gen  240  error= 4.140%  triangles= 20  t= 177.5s
  [kmax=20] Gen  250  error= 4.113%  triangles= 20  t= 184.7s
  [kmax=20] Gen  260  error= 4.096%  triangles= 20  t= 191.9s
  [kmax=20] Gen  270  error= 3.992%  triangles= 20  t= 199.1s
  [kmax=20] Gen  280  error= 3.992%  triangles= 20  t= 206.3s
  [kmax=20] Gen  290  error= 3.936%  triangles= 20  t= 213.5s
  [kmax=20] Gen  300  error= 3.924%  triangles= 20  t= 220.7s
  [kmax=20] Gen  310  error= 3.901%  triangles= 20  t= 227.9s
  [kmax=20] Gen  320  error= 3.880%  triangles= 19  t= 235.1s
  [kmax=20] Gen  330  error= 3.880%  triangles= 19  t= 242.3s
  [kmax=20] Gen  340  error= 3.813%  triangles= 19  t= 249.5s
  [kmax=20] Gen  350  error= 3.813%  triangles= 19  t= 256.6s
  [kmax=20] Gen  360  error= 3.813%  triangles= 19  t= 263.8s
  [kmax=20] Gen  370  error= 3.812%  triangles= 19  t= 271.0s
  [kmax=20] Gen  380  error= 3.785%  triangles= 20  t= 278.2s
  [kmax=20] Gen  390  error= 3.762%  triangles= 20  t= 285.5s
  [kmax=20] Gen  400  error= 3.762%  triangles= 20  t= 292.7s
  [kmax=20] Gen  410  error= 3.754%  triangles= 20  t= 299.7s
  [kmax=20] Gen  420  error= 3.713%  triangles= 19  t= 305.3s
  [kmax=20] Gen  430  error= 3.713%  triangles= 19  t= 310.9s
  [kmax=20] Gen  440  error= 3.713%  triangles= 19  t= 316.6s
  [kmax=20] Gen  450  error= 3.684%  triangles= 20  t= 322.3s
  [kmax=20] Gen  460  error= 3.606%  triangles= 20  t= 329.4s
  [kmax=20] Gen  470  error= 3.590%  triangles= 20  t= 336.6s
  [kmax=20] Gen  480  error= 3.590%  triangles= 20  t= 343.7s
  [kmax=20] Gen  490  error= 3.590%  triangles= 20  t= 350.8s
  [kmax=20] Gen  500  error= 3.498%  triangles= 20  t= 357.9s
  [kmax=20] Gen  510  error= 3.492%  triangles= 20  t= 365.0s
  [kmax=20] Gen  520  error= 3.486%  triangles= 20  t= 372.1s
  [kmax=20] Gen  530  error= 3.479%  triangles= 20  t= 379.2s
  [kmax=20] Gen  540  error= 3.469%  triangles= 20  t= 386.3s
  [kmax=20] Gen  550  error= 3.469%  triangles= 20  t= 393.4s
  [kmax=20] Gen  560  error= 3.469%  triangles= 20  t= 400.5s
  [kmax=20] Gen  570  error= 3.469%  triangles= 20  t= 407.6s
  [kmax=20] Gen  580  error= 3.466%  triangles= 20  t= 414.8s
  [kmax=20] Gen  590  error= 3.458%  triangles= 20  t= 421.9s
  [kmax=20] Gen  600  error= 3.458%  triangles= 20  t= 428.9s
  [kmax=20] Gen  610  error= 3.458%  triangles= 20  t= 436.0s
  [kmax=20] Gen  620  error= 3.458%  triangles= 20  t= 443.0s
  [kmax=20] Gen  630  error= 3.456%  triangles= 20  t= 450.0s
  [kmax=20] Gen  640  error= 3.456%  triangles= 20  t= 457.1s
  [kmax=20] Gen  650  error= 3.456%  triangles= 20  t= 464.1s
  [kmax=20] Gen  660  error= 3.417%  triangles= 19  t= 471.1s
  [kmax=20] Gen  670  error= 3.407%  triangles= 19  t= 478.1s
  [kmax=20] Gen  680  error= 3.407%  triangles= 19  t= 485.1s
  [kmax=20] Gen  690  error= 3.407%  triangles= 19  t= 492.1s
  [kmax=20] Gen  700  error= 3.407%  triangles= 19  t= 499.1s
  [kmax=20] Gen  710  error= 3.388%  triangles= 20  t= 506.2s
  [kmax=20] Gen  720  error= 3.388%  triangles= 20  t= 513.2s
  [kmax=20] Gen  730  error= 3.388%  triangles= 20  t= 520.2s
  [kmax=20] Gen  740  error= 3.388%  triangles= 20  t= 527.2s
