
=== Running k_max = 5 ===
  [kmax=5] Gen    0  error= 57.59%  triangles=  1
  [kmax=5] Gen   50  error= 36.76%  triangles=  4
  [kmax=5] Gen  100  error= 33.84%  triangles=  5
  [kmax=5] Gen  150  error= 34.03%  triangles=  4
  [kmax=5] Gen  200  error= 31.07%  triangles=  5
  [kmax=5] Gen  250  error= 30.95%  triangles=  5
  [kmax=5] Gen  300  error= 28.59%  triangles=  5
  [kmax=5] Gen  350  error= 29.21%  triangles=  5
  [kmax=5] Gen  400  error= 28.63%  triangles=  5
  [kmax=5] Gen  450  error= 26.00%  triangles=  5
  [kmax=5] Gen  500  error= 28.36%  triangles=  5
  [kmax=5] Gen  550  error= 29.16%  triangles=  5
  [kmax=5] Gen  600  error= 27.08%  triangles=  5
  [kmax=5] Gen  650  error= 25.69%  triangles=  5
  [kmax=5] Gen  700  error= 25.51%  triangles=  5
  [kmax=5] Gen  750  error= 26.72%  triangles=  5
  [kmax=5] Gen  800  error= 26.40%  triangles=  5
  [kmax=5] Gen  850  error= 25.99%  triangles=  5
  [kmax=5] Gen  900  error= 26.45%  triangles=  5
  [kmax=5] Gen  950  error= 25.76%  triangles=  5
  [kmax=5] Gen  999  error= 26.05%  triangles=  5

=== Running k_max = 10 ===
  [kmax=10] Gen    0  error= 53.49%  triangles=  2
  [kmax=10] Gen   50  error= 30.49%  triangles= 10
  [kmax=10] Gen  100  error= 28.59%  triangles= 10
  [kmax=10] Gen  150  error= 25.75%  triangles= 10
  [kmax=10] Gen  200  error= 20.91%  triangles= 10
  [kmax=10] Gen  250  error= 20.73%  triangles= 10
  [kmax=10] Gen  300  error= 19.29%  triangles=  8
  [kmax=10] Gen  350  error= 21.13%  triangles= 10
  [kmax=10] Gen  400  error= 20.77%  triangles= 10
  [kmax=10] Gen  450  error= 19.89%  triangles= 10
  [kmax=10] Gen  500  error= 21.08%  triangles= 10
  [kmax=10] Gen  550  error= 20.66%  triangles= 10
  [kmax=10] Gen  600  error= 20.30%  triangles= 10
  [kmax=10] Gen  650  error= 18.65%  triangles= 10
  [kmax=10] Gen  700  error= 20.32%  triangles= 10
  [kmax=10] Gen  750  error= 20.00%  triangles= 10
  [kmax=10] Gen  800  error= 20.04%  triangles= 10
  [kmax=10] Gen  850  error= 19.54%  triangles= 10
  [kmax=10] Gen  900  error= 22.08%  triangles= 10
  [kmax=10] Gen  950  error= 20.28%  triangles=  9
  [kmax=10] Gen  999  error= 20.34%  triangles= 10

=== Running k_max = 15 ===
  [kmax=15] Gen    0  error= 59.24%  triangles=  2
  [kmax=15] Gen   50  error= 30.05%  triangles= 15
  [kmax=15] Gen  100  error= 26.04%  triangles= 15
  [kmax=15] Gen  150  error= 22.90%  triangles= 13
  [kmax=15] Gen  200  error= 23.91%  triangles= 15
  [kmax=15] Gen  250  error= 23.18%  triangles= 15
  [kmax=15] Gen  300  error= 22.71%  triangles= 13
  [kmax=15] Gen  350  error= 23.05%  triangles= 15
  [kmax=15] Gen  400  error= 23.52%  triangles= 13
  [kmax=15] Gen  450  error= 23.08%  triangles= 13
  [kmax=15] Gen  500  error= 22.08%  triangles= 15
  [kmax=15] Gen  550  error= 21.11%  triangles= 15
  [kmax=15] Gen  600  error= 21.94%  triangles= 15
  [kmax=15] Gen  650  error= 20.32%  triangles= 15
